pl_name,hostname,disc_facility,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_orbeccen,pl_insol,pl_eqt
11 Com b,11 Com,Xinglong Station,326.03,1.29,12.1,1.08,6165.6,19.4,0.231,98.09,1700.0
11 UMi b,11 UMi,Thueringer Landessternwarte Tautenburg,516.21997,1.53,12.3,1.09,4684.8142,14.74,0.08,98.09,1700.0
14 And b,14 And,Okayama Astrophysical Observatory,185.84,0.83,12.9,1.15,1525.5,4.8,0.0,98.09,1700.0
14 Her b,14 Her,W. M. Keck Observatory,1773.40002,2.93,12.9,1.15,1481.0878,4.66,0.37,98.09,1700.0
16 Cyg B b,16 Cyg B,Multiple Observatories,798.5,1.66,13.5,1.2,565.7374,1.78,0.68,98.09,1700.0
18 Del b,18 Del,Okayama Astrophysical Observatory,993.3,2.6,12.5,1.11,3273.5,10.3,0.08,98.09,1700.0
1RXS J160929.1-210524 b,1RXS J160929.1-210524,Gemini Observatory,30.3506,330.0,18.647000000000002,1.6640000000000001,3000.0,8.0,0.042,98.09,1700.0
24 Boo b,24 Boo,Okayama Astrophysical Observatory,30.3506,0.19,13.9,1.24,289.2253,0.91,0.042,98.09,1600.0
24 Sex b,24 Sex,Lick Observatory,452.8,1.333,13.4,1.19,632.46,1.99,0.09,98.09,1600.0
24 Sex c,24 Sex,Lick Observatory,883.0,2.08,13.9,1.24,273.32,0.86,0.29,98.09,1600.0
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,Paranal Observatory,416.0,84.0,12.3,1.1,4131.79,13.0,0.26,98.09,1600.0
2MASS J01225093-2439505 b,2MASS J01225093-2439505,W. M. Keck Observatory,416.0,52.0,11.209000000000001,1.0,7786.5,24.5,0.26,98.09,1600.0
2MASS J02192210-3925225 b,2MASS J02192210-3925225,Cerro Tololo Inter-American Observatory,416.0,156.0,16.141,1.44,4417.837,13.9,0.26,98.09,1150.0
2MASS J04414489+2301513 b,2MASS J04414489+2301513,Hubble Space Telescope,416.0,15.0,12.6,1.13,2383.6,7.5,0.26,98.09,1150.0
2MASS J12073346-3932539 b,2MASS J12073346-3932539,Paranal Observatory,416.0,46.0,13.0,1.16,1271.0,4.0,0.26,98.09,1150.0
2MASS J19383260+4603591 b,2MASS J19383260+4603591,Kepler,416.0,0.92,13.4,1.2,603.877,1.9,0.26,98.09,2075.0
