,pl_name,hostname,disc_facility,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_insol,pl_eqt
0,11 Com b,11 Com,Xinglong Station,326.03,1.29,12.1,6165.6,0.231,98.09,1700.0
1,11 UMi b,11 UMi,Thueringer Landessternwarte Tautenburg,516.21997,1.53,12.3,4684.8142,0.08,98.09,1700.0
2,14 And b,14 And,Okayama Astrophysical Observatory,185.84,0.83,12.9,1525.5,0.0,98.09,1700.0
3,14 Her b,14 Her,W. M. Keck Observatory,1773.4000199999998,2.93,12.9,1481.0878,0.37,98.09,1700.0
4,16 Cyg B b,16 Cyg B,Multiple Observatories,798.5,1.66,13.5,565.7374,0.68,98.09,1700.0
5,18 Del b,18 Del,Okayama Astrophysical Observatory,993.3,2.6,12.5,3273.5,0.08,98.09,1700.0
6,1RXS J160929.1-210524 b,1RXS J160929.1-210524,Gemini Observatory,30.3506,330.0,18.647,3000.0,0.042,98.09,1700.0
7,24 Boo b,24 Boo,Okayama Astrophysical Observatory,30.3506,0.19,13.9,289.2253,0.042,98.09,1600.0
8,24 Sex b,24 Sex,Lick Observatory,452.8,1.3330000000000002,13.4,632.46,0.09,98.09,1600.0
9,24 Sex c,24 Sex,Lick Observatory,883.0,2.08,13.9,273.32,0.29,98.09,1600.0
10,2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,Paranal Observatory,416.0,84.0,12.3,4131.79,0.26,98.09,1600.0
11,2MASS J01225093-2439505 b,2MASS J01225093-2439505,W. M. Keck Observatory,416.0,52.0,11.209,7786.5,0.26,98.09,1600.0
12,2MASS J02192210-3925225 b,2MASS J02192210-3925225,Cerro Tololo Inter-American Observatory,416.0,156.0,16.141,4417.837,0.26,98.09,1150.0
13,2MASS J04414489+2301513 b,2MASS J04414489+2301513,Hubble Space Telescope,416.0,15.0,12.6,2383.6,0.26,98.09,1150.0
14,2MASS J12073346-3932539 b,2MASS J12073346-3932539,Paranal Observatory,416.0,46.0,13.0,1271.0,0.26,98.09,1150.0
15,2MASS J19383260+4603591 b,2MASS J19383260+4603591,Kepler,416.0,0.92,13.4,603.877,0.26,98.09,2075.0
16,2MASS J21402931+1625183 A b,2MASS J21402931+1625183 A,W. M. Keck Observatory,7336.5,230.0,10.31,6657.48,0.26,98.09,2075.0
17,2MASS J22362452+4751425 b,2MASS J22362452+4751425,W. M. Keck Observatory,335.10001,230.0,12.3,3972.875,0.29,98.09,700.0
18,30 Ari B b,30 Ari B,Thueringer Landessternwarte Tautenburg,335.10001,0.99,12.3,4392.4106,0.29,98.09,700.0
19,4 UMa b,4 UMa,Thueringer Landessternwarte Tautenburg,269.3,0.87,12.7,2256.5,0.43200000000000005,98.09,700.0
20,42 Dra b,42 Dra,Thueringer Landessternwarte Tautenburg,479.1,1.19,13.0,1233.13,0.38,98.09,700.0
21,47 UMa b,47 UMa,Lick Observatory,1078.0,2.1,13.2,804.08,0.032,98.09,700.0
22,47 UMa c,47 UMa,Lick Observatory,2391.0,3.6,14.2,171.62099999999998,0.098,98.09,700.0
23,47 UMa d,47 UMa,Lick Observatory,14002.0,11.6,13.5,521.22,0.16,98.09,700.0
24,51 Eri b,51 Eri,Gemini Observatory,11688.0,12.0,13.4,635.66,0.45,98.09,700.0
25,51 Peg b,51 Peg,Haute-Provence Observatory,4.230785,0.0527,14.3,146.2018,0.013000000000000001,98.09,700.0
26,55 Cnc b,55 Cnc,Lick Observatory,14.6516,0.1134,13.9,263.9785,0.0,98.09,700.0
27,55 Cnc c,55 Cnc,McDonald Observatory,44.3989,0.2373,8.51,54.4738,0.03,98.09,1958.0
28,55 Cnc d,55 Cnc,Lick Observatory,5574.2,5.957000000000001,13.0,1232.493,0.13,98.09,1958.0
29,55 Cnc e,55 Cnc,McDonald Observatory,0.7365474,0.01544,1.875,7.99,0.05,98.09,1958.0
30,55 Cnc f,55 Cnc,Multiple Observatories,259.88,0.7708,7.59,44.812,0.08,98.09,546.0
31,6 Lyn b,6 Lyn,Okayama Astrophysical Observatory,934.3,2.11,13.4,638.8383,0.073,98.09,546.0
32,61 Vir b,61 Vir,Multiple Observatories,4.215,0.050201,2.11,5.1,0.12,98.09,546.0
33,61 Vir c,61 Vir,Multiple Observatories,38.021,0.2175,4.46,18.2,0.14,98.09,546.0
34,61 Vir d,61 Vir,Multiple Observatories,123.01,0.47600000000000003,5.11,22.9,0.35,98.09,546.0
35,7 CMa b,7 CMa,Anglo-Australian Telescope,735.1,1.758,13.4,587.9855,0.06,98.09,546.0
